year,rotation,site_id,nrate_kgha,leaching_kgha
2015,cc,hoff,250,153.5
2015,cc,hoff,300,197.5
2015,cc,hugg,0,4.8
2015,cc,hugg,56,7.4
2015,cc,hugg,112,11.1
2015,cc,hugg,168,61.9
2015,cc,hugg,224,115.7
2015,cc,hugg,250,141.3
2015,cc,hugg,300,202.5
2015,cc,klad,0,2
2015,cc,klad,56,3.4
2015,cc,klad,112,7.6
2015,cc,klad,168,26.1
2015,cc,klad,224,43.1
2015,cc,klad,250,51.4
2015,cc,klad,300,67.4
2015,cc,masa,0,0.9
2015,cc,masa,56,2.4
2015,cc,masa,112,4.9
2015,cc,masa,168,31.9
2015,cc,masa,224,71.3
2015,cc,masa,250,89.9
2015,cc,masa,300,125.2
2015,cc,rand,0,1.2
2015,cc,rand,56,2.6
2015,cc,rand,112,4.5
2015,cc,rand,168,14.5
2015,cc,rand,224,48.7
2015,cc,rand,250,65.7
2015,cc,rand,300,96.1
2015,cc,suth,0,1
2015,cc,suth,56,1.5
2015,cc,suth,112,1.9
2015,cc,suth,168,2.3
2015,cc,suth,224,20.7
2015,cc,suth,250,33.5
2015,cc,suth,300,57.7
2015,cs,gent,0,10.6
2015,cs,gent,56,18.5
2015,cs,gent,112,32.2
2015,cs,gent,168,52.8
2015,cs,gent,224,73.4
2015,cs,gent,250,84.6
2015,cs,gent,300,106.8
2015,cs,gilm,0,9.1
2015,cs,gilm,56,11.2
2015,cs,gilm,112,27.6
2015,cs,gilm,168,50.7
2015,cs,gilm,224,73.1
2015,cs,gilm,250,84.2
2015,cs,gilm,300,106.6
2015,cs,gold,0,0.4
2015,cs,gold,56,0.5
2015,cs,gold,112,1.7
2015,cs,gold,168,4.3
2015,cs,gold,224,6.7
2015,cs,gold,250,8
2015,cs,gold,300,11.2
2015,cs,hoff,0,7.7
2015,cs,hoff,56,12.3
2015,cs,hoff,112,24.6
2015,cs,hoff,168,39.1
2015,cs,hoff,224,53.7
2015,cs,hoff,250,60.5
2015,cs,hoff,300,73.7
2015,cs,hugg,0,7.5
2015,cs,hugg,56,9.4
2015,cs,hugg,112,17
2015,cs,hugg,168,34.3
